Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/input_Profile_mx_Field_4""), displayName)",Chrome 97.0.4692.71,,,2022-01-16 23:37:48,2022-01-16 23:38:49,1m - 1.335s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_Save""))",Chrome 97.0.4692.71,,,2022-01-16 23:38:49,2022-01-16 23:39:20,30.307s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-16 23:39:20,2022-01-16 23:39:22,2.164s,PASSED
,,,,,,,
Test Cases/TC41-44. Setting - Change Display Name,Chrome 97.0.4692.71,,,2022-01-16 23:39:22,2022-01-16 23:44:42,5m - 20.134s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 23:39:22,2022-01-16 23:39:23,1.607s,PASSED
"navigateToUrl(""http://localhost:8080/#/login"")",Chrome 97.0.4692.71,,,2022-01-16 23:39:23,2022-01-16 23:39:28,4.430s,PASSED
"setText(findTestObject(""Object Repository/Setting - Display Name/Page_Element/input_Sign in with_username""), ""nctai"")",Chrome 97.0.4692.71,,,2022-01-16 23:39:28,2022-01-16 23:39:35,6.670s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Display Name/Page_Element/input_Username_password""), ""EkCegUu2cCIeOttlbhr1Gg=="")",Chrome 97.0.4692.71,,,2022-01-16 23:39:35,2022-01-16 23:39:35,0.629s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-16 23:39:35,2022-01-16 23:39:36,0.529s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_Verify with Security Key or Phrase""))",Chrome 97.0.4692.71,,,2022-01-16 23:39:36,2022-01-16 23:40:08,32.466s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/input_use your Security Key_mx_passPhraseInput""), ""reV6H350bXVA0kTbjZFhCPXAh4FFL4It6typrKizvxSyJdUn2mpvZeL5nXz6yBWwF/LIkIubCxLuDiWR7yvugw=="")",Chrome 97.0.4692.71,,,2022-01-16 23:40:08,2022-01-16 23:40:39,30.604s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/button_Continue""))",Chrome 97.0.4692.71,,,2022-01-16 23:40:39,2022-01-16 23:41:09,30.281s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_Done""))",Chrome 97.0.4692.71,,,2022-01-16 23:41:09,2022-01-16 23:41:39,30.380s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/img_Review_mx_BaseAvatar_image""))",Chrome 97.0.4692.71,,,2022-01-16 23:41:39,2022-01-16 23:42:10,30.540s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/span_Security  privacy_mx_IconizedContextMe_38942c""))",Chrome 97.0.4692.71,,,2022-01-16 23:42:10,2022-01-16 23:42:40,30.237s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_GeneralAppearanceNotificationsPreferenc_bc2e8e""))",Chrome 97.0.4692.71,,,2022-01-16 23:42:40,2022-01-16 23:43:10,30.205s,PASSED
"setText(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/input_Profile_mx_Field_4""), displayName)",Chrome 97.0.4692.71,,,2022-01-16 23:43:10,2022-01-16 23:44:11,1m - 0.444s,PASSED
