Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-16 21:25:29,2022-01-16 21:25:31,1.262s,PASSED
,,,,,,,
Test Cases/TC1-6. Sign Up,Chrome 97.0.4692.71,,,2022-01-16 21:25:31,2022-01-16 21:25:48,17.193s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 21:25:31,2022-01-16 21:25:32,1.258s,PASSED
"navigateToUrl(""http://localhost:8080/#/register"")",Chrome 97.0.4692.71,,,2022-01-16 21:25:32,2022-01-16 21:25:36,3.820s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Or_mx_RegistrationForm_username""), username)",Chrome 97.0.4692.71,,,2022-01-16 21:25:36,2022-01-16 21:25:43,6.984s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Username_mx_RegistrationForm_password""), password)",Chrome 97.0.4692.71,,,2022-01-16 21:25:43,2022-01-16 21:25:44,1.374s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Page_Element/div_Confirm password""))",Chrome 97.0.4692.71,,,2022-01-16 21:25:44,2022-01-16 21:25:45,0.609s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Password_mx_RegistrationForm_passwordConfirm""), confirmpassword)",Chrome 97.0.4692.71,,,2022-01-16 21:25:45,2022-01-16 21:25:46,0.886s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Confirm password_mx_Field_1""), email)",Chrome 97.0.4692.71,,,2022-01-16 21:25:46,2022-01-16 21:25:46,0.768s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-16 21:25:46,2022-01-16 21:25:48,1.478s,PASSED
,,,,,,,
Test Cases/TC1-6. Sign Up,Chrome 97.0.4692.71,,,2022-01-16 21:25:48,2022-01-16 21:26:06,17.655s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 21:25:48,2022-01-16 21:25:50,2.133s,PASSED
"navigateToUrl(""http://localhost:8080/#/register"")",Chrome 97.0.4692.71,,,2022-01-16 21:25:50,2022-01-16 21:25:54,3.934s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Or_mx_RegistrationForm_username""), username)",Chrome 97.0.4692.71,,,2022-01-16 21:25:54,2022-01-16 21:25:59,5.185s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Username_mx_RegistrationForm_password""), password)",Chrome 97.0.4692.71,,,2022-01-16 21:25:59,2022-01-16 21:26:01,1.319s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Page_Element/div_Confirm password""))",Chrome 97.0.4692.71,,,2022-01-16 21:26:01,2022-01-16 21:26:02,1.529s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Password_mx_RegistrationForm_passwordConfirm""), confirmpassword)",Chrome 97.0.4692.71,,,2022-01-16 21:26:02,2022-01-16 21:26:03,0.965s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Confirm password_mx_Field_1""), email)",Chrome 97.0.4692.71,,,2022-01-16 21:26:03,2022-01-16 21:26:04,0.744s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-16 21:26:04,2022-01-16 21:26:06,1.805s,PASSED
